date,stock_id,sector,log_return,MA_5,MA_21,MA_63,VOL_5,VOL_21,VOL_63,SP500_ret,SP500_VOL21,day_of_week,month,time_idx,split
2017-09-14,XOM,Energy,0.00400308761360844,0.0026646823282154,0.00123473348361125,-0.00027123504005827363,0.0031072298346606956,0.007032191906997099,0.006959225581011293,-0.0011013239025146775,0.005548020368910723,3,9,617,train
2017-09-15,AAPL,Technology,0.010057984830429549,0.0015698151447665857,-0.0003176097010467383,0.0019145437833692188,0.011804683205725669,0.009710756324849393,0.01189012591581769,0.0018455323152087293,0.005551964915581522,4,9,618,train
2017-09-15,JNJ,Healthcare,0.002010528235050351,0.005229610662746168,0.00040122811795636907,0.00011246628529768381,0.00924118910530641,0.008683760717253861,0.007435167328588897,0.0018455323152087293,0.005551964915581522,4,9,618,train
2017-09-15,JPM,Financials,0.007119769381168779,0.0071102907139789385,-0.00024365664595161,0.0010586846685435862,0.006975749955616513,0.00977308701963179,0.009219505811508578,0.0018455323152087293,0.005551964915581522,4,9,618,train
2017-09-15,UNP,Industrials,0.022623741701822984,0.011214860527413615,0.00355538730222583,0.00037633615080741,0.009676062464620468,0.011491677929189903,0.011050067855137367,0.0018455323152087293,0.005551964915581522,4,9,618,train
2017-09-15,XOM,Energy,-0.00024962863283982677,0.003146894873064205,0.0015719247876932638,-0.00051078496180868,0.002097049580912621,0.006765664814808277,0.006684944298315613,0.0018455323152087293,0.005551964915581522,4,9,618,train
2017-09-18,AAPL,Technology,-0.007597245500024924,-0.00353577512581119,0.00024370299297838953,0.0013462424370557198,0.00780101240862448,0.008856619412269102,0.011461123723617309,0.001454807314799407,0.004134260966345868,0,9,619,train
2017-09-18,JNJ,Healthcare,0.006892966120566363,0.0032317450966975725,0.0011322317475855788,0.00025499074427199443,0.006866998867541697,0.008545721444262263,0.007478278308888305,0.001454807314799407,0.004134260966345868,0,9,619,train
2017-09-18,JPM,Financials,0.014089349920097725,0.0068531074468119344,0.001177775043156824,0.0009379716701492526,0.006608915953127232,0.009572070645991852,0.008991939679540263,0.001454807314799407,0.004134260966345868,0,9,619,train
2017-09-18,UNP,Industrials,-0.012078088222577497,0.007138544917490289,0.004197639511379803,0.00012349040860432542,0.014365830785523165,0.010071983882537064,0.011151058373715788,0.001454807314799407,0.004134260966345868,0,9,619,train
2017-09-18,XOM,Energy,0.0002496286328398771,0.002108681156598806,0.002333438868361233,-0.0003674235745218928,0.0019579103437112988,0.00550125949533463,0.00660101886711826,0.001454807314799407,0.004134260966345868,0,9,619,train
2017-09-19,AAPL,Technology,0.0003781415833272675,-0.002665944442018355,0.0003704342510076507,0.0014971656435225102,0.00798074971913993,0.00883767399051473,0.011383283065693405,0.0011096653781502376,0.004067445801698529,1,9,620,train
2017-09-19,JNJ,Healthcare,-0.0011823821918716657,0.0038679837738426607,0.001222898789584967,0.00021847912159546858,0.0060908603474821715,0.008508745903222864,0.0074796127319421,0.0011096653781502376,0.004067445801698529,1,9,620,train
2017-09-19,JPM,Financials,0.010917202624098678,0.006601202533189407,0.0016503839727270587,0.0012107054583292067,0.0063751420041223755,0.009804647564108869,0.009030436358072219,0.0011096653781502376,0.004067445801698529,1,9,620,train
2017-09-19,UNP,Industrials,0.008582720464656022,0.0081674899269478,0.004273626784519766,0.0007585160903562256,0.014218001915519652,0.010100060402571087,0.010442140150570094,0.0011096653781502376,0.004067445801698529,1,9,620,train
2017-09-19,XOM,Energy,0.0016217962246233661,0.0018031384531026831,0.002173970670568824,-0.0002551401782650989,0.0018722047651317582,0.0054694366950042645,0.0065732389027226825,0.0011096653781502376,0.004067445801698529,1,9,620,train
2017-09-20,AAPL,Technology,-0.016900154367388072,-0.004535858675164564,-0.00034656924643345916,0.0011350507089777093,0.01019852445833371,0.009603820174125534,0.011601311299073831,0.0006341116368564334,0.004071697085021904,2,9,621,train
2017-09-20,JNJ,Healthcare,-0.014900982014167783,0.0011594285416861323,0.00021982817495488924,-9.943566776182066e-05,0.01044837284692781,0.009117060809614967,0.007690270729440393,0.0006341116368564334,0.004071697085021904,2,9,621,train
2017-09-20,JPM,Financials,0.007001439407298207,0.0074302827149681115,0.0020415383876730914,0.0013945532530711764,0.006026334052717334,0.009848464836440972,0.009028524765842885,0.0006341116368564334,0.004071697085021904,2,9,621,train
2017-09-20,UNP,Industrials,0.017637798593373027,0.011395648392103766,0.004917004989005438,0.001147748017352812,0.014157088970598284,0.01051216272581127,0.010608376506231332,0.0006341116368564334,0.004071697085021904,2,9,621,train
