Date,AAPL,ABBV,ACN,ADBE,AMAT,AMD,AMZN,AVGO,BAC,BRK-B,CAT,COST,CRM,CSCO,CVX,DHR,GOOG,GOOGL,GS,HD,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NFLX,NVDA,ORCL,PEP,PG,PM,QCOM,RTX,TMO,TSLA,TXN,UNH,V,WFC,WMT,XOM
6/21/2019,47.63694763,59.63378143,169.2612915,299.3299866,40.2711525,29.10000038,95.56500244,23.12251282,23.98021698,206.2100067,116.3694305,242.2485199,154.9572296,46.6709671,93.70008087,123.7048187,55.6764183,55.84654236,167.8963928,178.8634033,100.422142,41.35571671,118.3008041,90.95587158,42.25653076,183.8362274,106.2330933,89.44749451,254.7056274,175.7237549,189.8140869,65.84086609,129.1792755,44.25084686,36.92100143,3.770609856,50.87132263,110.0286331,94.5386734,56.63192368,62.67745972,69.47228241,289.5635681,14.79066658,93.39362335,226.8251648,165.723114,39.35096359,33.72344589,57.38661575
6/24/2019,47.58902359,59.38397598,169.7630005,299.8699951,39.68059158,29.26000023,95.69499969,23.56219864,23.86082268,206.8500061,116.7866364,242.8311157,150.7286072,46.7937088,93.68510437,122.3449631,55.36078262,55.41629028,169.2245331,175.5405273,100.5303802,41.50386047,119.1083755,90.30760956,42.55983734,184.9730835,106.3618622,87.83310699,255.5049591,175.4312592,191.2639771,66.57269287,129.9432068,44.38941574,37.10400009,3.792971373,51.43333435,110.1764603,95.49935913,55.63824844,63.05673218,70.24389648,290.6355286,14.90933323,93.73455048,224.4516144,166.1148224,38.83064651,33.75683975,56.83998871
6/25/2019,46.86769867,49.73266983,168.6592712,287.9700012,39.35249329,28.86000061,93.91349792,23.33517838,23.67321205,208.0700073,116.2130127,242.4579163,147.5472717,45.89352417,92.73254395,122.3879929,53.91313934,53.97120667,167.9992065,174.8913116,99.81616211,40.82417679,120.0908508,89.55963898,42.42867661,184.4455566,106.1135254,87.12348938,250.140564,176.9711914,187.5300293,66.36245728,125.8406372,43.96727371,36.02999878,3.763653517,50.82600021,109.9054031,94.98078918,56.34597397,62.53094101,69.61795807,288.6489258,14.65066719,92.69515991,222.6713562,163.6591492,38.72154999,33.59902191,56.33770752
6/26/2019,47.88140488,51.47367859,167.2089691,288.7200012,40.85235596,29.92000008,94.89150238,23.75123024,23.80113029,208.5099945,117.4645691,240.6828918,147.2508392,46.31906891,92.95005035,121.2776947,53.58808517,53.61092758,168.8132324,176.3264313,99.93157196,41.9918251,118.1009903,90.15802002,41.90405273,182.4446716,102.4157257,88.02823639,251.6526947,175.9732208,186.3582458,65.03897095,126.3122025,43.29567719,36.22000122,3.956954956,51.36081314,108.6816025,93.28894043,55.31656265,64.59953308,68.93809509,287.3706665,14.61800003,95.14809418,218.904129,163.4489441,38.43621445,33.42909622,56.58147049
6/27/2019,47.86701584,52.98762894,166.926178,293.230011,41.89286423,30.73999977,95.21399689,24.1115799,24.05695915,212.0200043,117.7687454,241.7478943,148.8810577,45.60709763,92.3350296,122.3462677,53.39999008,53.4278183,170.7926025,176.838913,99.93157196,41.35571671,117.1352005,90.45720673,41.87126923,181.4715424,102.5353165,88.13468933,251.4600983,177.4529266,188.1854553,65.26473999,126.5196457,43.61122894,37.0019989,4.055593014,51.46054077,108.1641617,93.33144379,55.70259857,65.01322174,69.59098053,288.8850403,14.85599995,96.33711243,221.4845581,163.6114044,38.847435,33.41088867,56.00530624
6/28/2019,47.43086243,55.04656601,168.5406952,294.6499939,42.09910965,30.37000084,94.6815033,24.29302788,24.73065567,213.1699982,118.4553452,240.5463715,149.9085541,44.78874207,93.33257294,123.1562653,53.64317322,53.73399734,175.3169403,177.6504211,99.48429108,41.71298218,115.9612579,92.91727448,41.74011612,182.6265564,101.9098206,89.50958252,254.763382,178.6487732,191.6611786,65.28032684,126.3405075,43.67732239,36.73199844,4.080438137,51.64183426,107.704155,93.22092438,56.13866425,65.56481934,70.25467682,288.7965088,14.89733315,95.42246246,219.3896027,165.8282166,39.71183395,33.5292511,56.60362625
7/1/2019,48.30077744,55.56129837,170.456192,300.9700012,42.82090378,31.20000076,96.10949707,25.34707642,25.08882904,214.6199951,118.7247772,239.9000854,152.2105865,44.79693222,93.63257599,124.0869064,54.48882294,54.58755112,177.2534943,179.623642,100.9127045,41.8698349,116.0278854,94.47975159,42.29753113,184.6274872,103.7035294,90.65383148,256.9207153,177.4787445,191.6611786,65.98100281,127.9626236,43.49822998,37.45999908,4.128639698,52.58454895,108.3119736,93.93505859,55.74547958,66.81458282,70.86982727,294.4313049,15.14466667,97.44300842,218.1578674,166.2008209,40.02233887,33.56868744,56.55192947
7/2/2019,48.58355713,56.18958664,172.0342865,301.3900146,41.86475754,31.23999977,96.71549988,24.92343712,24.85857964,214.5399933,118.0729446,241.6477966,152.2698669,45.67256927,92.20005035,124.2075195,55.14887619,55.21282959,176.4994202,179.5040741,101.1580048,41.93082428,116.5856857,94.57948303,42.6090126,185.118576,105.0464706,91.08847046,260.5803528,180.3005219,193.6473236,66.57269287,128.8114777,44.27429581,37.54299927,4.030747414,52.9924736,108.7719498,94.77674103,57.01079941,66.37501526,71.20436859,296.1029358,14.97000027,96.50343323,219.3536682,167.4811859,39.63629532,33.86608887,55.93144608
7/3/2019,48.98616791,56.74214935,174.1961212,305.7000122,41.87412262,31.19000053,96.94999695,24.04238892,24.77330399,215.1600037,117.846962,244.9885254,153.722229,46.51255417,92.51504517,125.215744,55.66152954,55.7284317,176.5508118,181.1783447,102.1102982,42.27937698,118.3424149,94.42884064,42.70737076,185.1822815,105.2488556,91.49652863,262.9977722,183.0792542,195.8320465,67.65484619,129.6413879,44.50242615,38.17200089,4.04366684,53.35507202,110.0532913,96.98716736,57.63989258,66.04749298,71.76552582,300.3511658,15.65999985,96.40363312,220.4685669,169.000473,39.99716187,34.08456802,56.46327209
7/5/2019,48.9430275,55.25094223,174.5792389,303.980011,41.22731781,31.5,97.14550018,23.85419083,24.95238495,215.25,117.7600555,244.1784058,152.72435,46.61137772,92.65756989,124.474678,56.15830612,56.20880127,178.1446228,180.6316071,101.9948425,41.89596558,117.0352859,94.98961639,42.71557999,184.1090546,103.7771225,92.44563293,262.0924377,181.7285919,195.0376129,66.6427536,129.2641296,44.37023544,38.05500031,3.981055021,53.73578262,109.256546,96.19652557,57.27532578,66.07337189,71.5173111,295.6506348,15.53999996,96.24565887,222.0689697,168.7998047,40.08947754,33.98138809,56.23429489
7/8/2019,47.93412399,53.91110992,173.5940857,302.9200134,40.73048401,32.04000092,97.61599731,23.20437813,24.90121841,215.1300049,117.1951141,245.225174,150.9755859,46.27373505,92.70254517,123.7594528,55.40198135,55.42075348,176.3023529,181.8702393,101.4104919,41.66941071,117.368309,94.47067261,42.6254158,183.4178314,102.5812836,92.83590698,261.5331116,182.5200806,194.4020386,65.42824554,129.1698608,44.58771515,37.61600113,3.906020403,53.96239853,108.8787155,96.96167755,56.91072083,66.04749298,70.61621857,292.8578491,15.35599995,95.56381989,222.8331757,168.3507233,39.88806915,34.20594788,56.49282837
7/9/2019,48.22648621,53.92625046,174.3055573,304.2000122,41.2179451,33.15000153,99.41500092,23.25247574,25.02913284,214.75,116.7170792,245.7439575,152.1019135,46.3972702,92.51504517,122.6133804,55.82282257,55.79294968,178.0332184,181.092926,100.5159454,41.60840988,117.7346497,94.87244415,42.2893219,182.781189,104.0162506,93.01334381,263.567749,182.4598389,197.828125,66.06663513,128.6982727,44.38088989,37.99300003,3.90850544,54.02585983,108.2052155,95.99246979,56.78920364,65.97857666,70.35720825,291.9629517,15.33733273,96.27059937,221.1788483,169.8222046,40.13982773,34.25450516,56.45589828
7/10/2019,48.70338821,54.23661423,174.8710938,306.980011,41.9209938,33.79000092,100.8704987,23.16555405,24.7477169,214.0299988,115.2830048,247.063858,154.3940582,47.04784393,94.08261108,122.8805008,56.5994873,56.61771393,176.4908295,180.0251465,101.3383713,42.00924301,117.5681381,94.59620667,42.47785568,183.5088196,105.3500214,91.4344101,265.5347595,183.2426758,201.3236847,66.03548431,130.0092316,44.66231918,38.09999847,3.976831436,54.52441406,110.3982391,96.70661163,57.38966751,64.09098053,70.38957977,291.5892639,15.92800045,96.98568726,222.5095062,171.3318787,39.56916809,34.28485107,57.25365067
7/11/2019,48.34871292,53.92625046,177.5711212,307.6000061,42.44593811,33.06000137,100.0534973,23.29720688,25.03766632,213.1699982,116.4302979,251.7243347,156.9924927,47.18784332,94.07509613,122.975296,56.78460312,56.77502441,181.1008453,182.8355103,101.8938751,42.34908676,116.6522903,95.50018311,42.65820694,184.4546814,101.01754,93.02219391,268.369751,182.9760284,199.8340759,63.06146622,130.5279541,44.85847092,37.95000076,4.131372452,54.37937546,110.3489456,97.24220276,58.09024811,63.53075409,70.86982727,290.6355286,15.90666676,97.05220032,234.8092194,172.6982727,39.56077194,34.57010269,57.29796982
7/12/2019,48.72017288,54.01078033,178.9758911,309.4200134,43.59896088,33.20999908,100.5500031,24.08457756,25.11441231,214.1000061,120.2544937,254.3641357,156.1823578,47.7231369,94.48760223,120.6658783,56.81884766,56.8375473,183.3201447,186.4146271,102.9759827,43.49930954,111.8150406,96.50454712,42.72377396,185.5187683,99.61019135,95.26636505,269.5460815,183.2341156,203.4488525,62.07274246,130.9994965,44.50242615,37.32500076,4.164418221,54.21621323,109.4701004,97.76081085,58.54062653,64.55641174,72.15403748,286.1021423,16.33866692,98.38260651,239.0709839,172.3065033,39.74540329,34.77645874,57.34228516
7/15/2019,49.17788696,54.00311661,178.1640015,308.7600098,43.383358,34.38999939,101.0494995,24.33353806,24.91827393,213.5399933,121.3669739,255.4019775,157.73349,47.8054924,94.2926178,121.5965347,57.08882141,57.09411621,181.2979279,186.8161163,103.3944397,43.67357635,112.156395,95.3327713,42.73198318,185.6006165,99.77575684,95.77198792,269.3821411,184.2836761,202.4954987,63.0303421,130.9994965,44.52801132,36.65999985,4.155970573,53.96239853,110.1846771,98.17740631,58.24038315,65.01322174,71.88961029,284.0272217,16.89999962,99.64648438,239.1249084,172.5358124,39.19990921,34.89176559,56.93601227
7/16/2019,49.00774002,53.15005875,177.1880188,305.7000122,43.13025665,33.84999847,100.4950027,23.97824287,24.72212982,212.8800049,120.8889771,255.4655914,155.2437439,47.45137787,93.57259369,120.4935532,57.24962616,57.24050522,184.674057,185.5860748,103.5458984,42.84577179,110.316391,96.35390472,42.74017715,184.2545471,100.0977097,94.46803284,266.7304382,183.8621521,202.4259949,63.52080536,129.28302,44.32119751,36.59899902,4.151250362,53.34350586,109.8972168,98.52596283,58.3190155,65.22010803,71.86805725,281.4507446,16.82533264,98.68193817,237.9560394,171.3318787,38.01659393,34.82501221,56.08657074
7/17/2019,48.7321434,52.50451279,176.7866364,309.3900146,43.32711029,33.59999847,99.60150146,24.05842018,24.89268303,207.4499969,117.9686432,256.2939453,156.3404388,47.11373138,93.1075592,120.3384552,56.89080429,56.90702438,182.7717896,184.1766205,103.2140656,43.03747177,109.7835388,95.40808868,42.77295303,183.554306,98.5063858,93.07539368,265.4384155,183.8535919,200.4001312,63.77773666,128.5190887,44.75401688,36.24399948,4.216593742,52.77921677,109.059433,98.56846619,57.94013977,65.29764557,70.20072937,282.2276306,16.99066734,97.43468475,239.7453308,171.1790009,37.94108582,34.77645874,55.75418091
